# MEG-OS System Call Function Number
exit|0
print_string||Display a string
monotonic||Get the value of the monotonic timer in microseconds
time||Perform the time service
usleep||Blocks a thread for the specified microseconds
get_system_info||Get the system information
new_window||Create a new window
close_window||Close a window
draw_string||Draw a string in a window
fill_rect||Fill a rectangle in a window
draw_rect||Draw a rectangle in a window
draw_line||Draw a line in a window
blt8||Draw a bitmap in a window
blt1||Draw a bitmap in a window
blt32||Draw a bitmap in a window
blend_rect||Blend (test)
refresh_window||Reflect the window's bitmap if needed
wait_char||Wait for char event
read_char||Read a char event
rand|100|Return a random number
srand||Set the seed of the random number
alloc|10000|RESERVED
free||RESERVED
test||test_u64
